baseline,path,category,bytes,mechanical_check,manual_review,risk_pattern_hits,boundary
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/final_report.py","paused","12086","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/full_capture2.py","paused","8657","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/get_token.py","paused","5166","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/new_tab.py","paused","1029","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/package.json","paused","469","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/classify.js","paused","15592","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/idmap.js","paused","6319","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/interceptor.js","paused","23323","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/learned.js","paused","11609","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/lifecycle.js","paused","1578","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/main.js","paused","14109","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/probe.js","paused","8021","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/registry.js","paused","28273","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/runmodel.js","paused","9496","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/src/ui.js","paused","11495","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/sync_catalog.py","paused","4363","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/boot-smoke.mjs","paused","10394","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/build.mjs","paused","8195","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/cdp-inspect.mjs","paused","8473","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/cdp.mjs","paused","2133","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/e2e.mjs","paused","16027","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/recon.mjs","paused","3104","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/selftest.mjs","paused","35335","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/tabs.mjs","paused","547","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/verify-auth.mjs","paused","2779","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/verify.mjs","paused","1067","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/tools/wait-ready.mjs","paused","2117","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/trigger_full.py","paused","7707","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/verify_idmap.py","paused","9620","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/verify_realname.py","paused","8518","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/wait_login.py","paused","3573","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-model-probe/webagent-connection.user.js","paused","2242","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/README.md","paused","17109","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/background.js","paused","20987","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/conversation-rename.js","paused","11283","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/core.js","paused","3870","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/evidence.js","paused","2137","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/history.js","paused","4141","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/hud-layout.js","paused","1516","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/hud-preferences.js","paused","771","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/hud.js","paused","19926","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/manifest.json","paused","685","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/package.json","paused","83","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/panel.js","paused","16005","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/popup.css","paused","3787","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/popup.html","paused","1859","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/popup.js","paused","7731","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/restore.js","paused","2437","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/auto-rename.test.mjs","paused","3143","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/background.test.mjs","paused","8750","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/conversation-archive.test.mjs","paused","3591","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/conversation-rename.test.mjs","paused","1013","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/core.test.mjs","paused","3295","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/evidence.test.mjs","paused","4678","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/history.test.mjs","paused","4116","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/hud-dom-fixture.mjs","paused","2992","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/hud-layout.test.mjs","paused","2592","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/hud-recovery.test.mjs","paused","3611","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/popup-layout.test.mjs","paused","1024","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/restore.test.mjs","paused","9231","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/trace-reader.test.mjs","paused","873","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/tests/usage.test.mjs","paused","2913","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/trace-reader.js","paused","992","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/usage.js","paused","5103","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/view-model.js","paused","4640","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","arena-trace-inspector/安装教程.md","paused","8702","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","bin/README.md","documentation","2171","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","bin/code-server-runtime/package.json","source-config","261","JSON parse passed; not schema certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","check-env.cmd","source-config","888","text risk scan only; no platform compilation","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/SKILL.md","documentation","8625","UTF-8 text/relative-link candidate scan; not semantic certification","not independently semantically reviewed","0",""
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after1.jpg","binary-asset","31056","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after10.jpg","binary-asset","28844","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after11.jpg","binary-asset","28426","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after12.jpg","binary-asset","27852","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after13.jpg","binary-asset","27925","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after14.jpg","binary-asset","27365","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after15.jpg","binary-asset","28373","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after16.jpg","binary-asset","28038","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after17.jpg","binary-asset","28146","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after18.jpg","binary-asset","27616","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after19.jpg","binary-asset","27665","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after2.jpg","binary-asset","31636","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after20.jpg","binary-asset","27554","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after21.jpg","binary-asset","27717","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after22.jpg","binary-asset","26865","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after23.jpg","binary-asset","27261","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after24.jpg","binary-asset","27453","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after25.jpg","binary-asset","28020","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after26.jpg","binary-asset","28018","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after27.jpg","binary-asset","28017","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after28.jpg","binary-asset","28470","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after3.jpg","binary-asset","30866","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after4.jpg","binary-asset","30737","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after5.jpg","binary-asset","30286","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after6.jpg","binary-asset","30333","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after7.jpg","binary-asset","30122","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after8.jpg","binary-asset","30049","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after9.jpg","binary-asset","29400","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_bells.jpg","binary-asset","27551","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_bells2.jpg","binary-asset","31617","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_bells3.jpg","binary-asset","31430","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_brush.jpg","binary-asset","32125","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_brushclear.jpg","binary-asset","27867","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_buckets.jpg","binary-asset","32711","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cabbage.jpg","binary-asset","31918","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cabbage2.jpg","binary-asset","32411","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cabclear.jpg","binary-asset","30263","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cabfinish.jpg","binary-asset","29720","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cabnow.jpg","binary-asset","30875","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_carrots.jpg","binary-asset","27143","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_clear_two.jpg","binary-asset","31490","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_clear_yarn_tray.jpg","binary-asset","29966","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_cleartray.jpg","binary-asset","32440","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_glove.jpg","binary-asset","32826","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_glove3.jpg","binary-asset","28248","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_gloves.jpg","binary-asset","28244","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_gloves2.jpg","binary-asset","31690","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_grass3.jpg","binary-asset","29652","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_grass_clear.jpg","binary-asset","30250","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_grass_reveal.jpg","binary-asset","30917","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_log.jpg","binary-asset","31688","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
"2f6e7ab716477dd9983f6599dc2d414c32770010","computer-use/shots/after_logs_cur.jpg","binary-asset","31495","metadata-only","not independently semantically reviewed","0","Previous explicit scope boundary retained; no body review/execution"
