baseline,path,category,bytes,mechanical_check,manual_review,evidence_or_boundary
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/src/registry.js,paused,28273,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/src/runmodel.js,paused,9496,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/src/ui.js,paused,11495,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/sync_catalog.py,paused,4363,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/boot-smoke.mjs,paused,10394,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/build.mjs,paused,8195,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/cdp-inspect.mjs,paused,8473,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/cdp.mjs,paused,2133,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/e2e.mjs,paused,16027,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/recon.mjs,paused,3104,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/selftest.mjs,paused,35335,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/tabs.mjs,paused,547,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/verify-auth.mjs,paused,2779,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/verify.mjs,paused,1067,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/tools/wait-ready.mjs,paused,2117,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/trigger_full.py,paused,7707,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/verify_idmap.py,paused,9620,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/verify_realname.py,paused,8518,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/wait_login.py,paused,3573,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-model-probe/webagent-connection.user.js,paused,2242,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/README.md,paused,17109,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/background.js,paused,20987,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/conversation-rename.js,paused,11283,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/core.js,paused,3870,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/evidence.js,paused,2137,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/history.js,paused,4141,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/hud-layout.js,paused,1516,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/hud-preferences.js,paused,771,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/hud.js,paused,19926,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/manifest.json,paused,685,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/package.json,paused,83,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/panel.js,paused,16005,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/popup.css,paused,3787,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/popup.html,paused,1859,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/popup.js,paused,7731,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/restore.js,paused,2437,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/auto-rename.test.mjs,paused,3143,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/background.test.mjs,paused,8750,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/conversation-archive.test.mjs,paused,3591,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/conversation-rename.test.mjs,paused,1013,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/core.test.mjs,paused,3295,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/evidence.test.mjs,paused,4678,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/history.test.mjs,paused,4116,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/hud-dom-fixture.mjs,paused,2992,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/hud-layout.test.mjs,paused,2592,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/hud-recovery.test.mjs,paused,3611,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/popup-layout.test.mjs,paused,1024,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/restore.test.mjs,paused,9231,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/trace-reader.test.mjs,paused,873,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/tests/usage.test.mjs,paused,2913,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/trace-reader.js,paused,992,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/usage.js,paused,5103,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/view-model.js,paused,4640,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,arena-trace-inspector/安装教程.md,paused,8702,not-run,paused,user reconfirmed full pause; metadata only
63cbbdc7eba23a3bab715810e57294f74a390ee5,bin/README.md,documentation,2171,local Markdown link scan (not semantics),not-line-by-line-reviewed,
63cbbdc7eba23a3bab715810e57294f74a390ee5,bin/code-server-runtime/package.json,source-config,261,JSON parsed,not-line-by-line-reviewed,
63cbbdc7eba23a3bab715810e57294f74a390ee5,check-env.cmd,source-config,902,text/risk sweep only; no dedicated parser,not-line-by-line-reviewed,
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/SKILL.md,documentation,8625,local Markdown link scan (not semantics),not-line-by-line-reviewed,
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after1.jpg,binary-asset,31056,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after10.jpg,binary-asset,28844,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after11.jpg,binary-asset,28426,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after12.jpg,binary-asset,27852,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after13.jpg,binary-asset,27925,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after14.jpg,binary-asset,27365,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after15.jpg,binary-asset,28373,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after16.jpg,binary-asset,28038,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after17.jpg,binary-asset,28146,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after18.jpg,binary-asset,27616,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after19.jpg,binary-asset,27665,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after2.jpg,binary-asset,31636,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after20.jpg,binary-asset,27554,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after21.jpg,binary-asset,27717,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after22.jpg,binary-asset,26865,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after23.jpg,binary-asset,27261,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after24.jpg,binary-asset,27453,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after25.jpg,binary-asset,28020,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after26.jpg,binary-asset,28018,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after27.jpg,binary-asset,28017,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after28.jpg,binary-asset,28470,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after3.jpg,binary-asset,30866,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after4.jpg,binary-asset,30737,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after5.jpg,binary-asset,30286,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after6.jpg,binary-asset,30333,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after7.jpg,binary-asset,30122,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after8.jpg,binary-asset,30049,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after9.jpg,binary-asset,29400,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_bells.jpg,binary-asset,27551,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_bells2.jpg,binary-asset,31617,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_bells3.jpg,binary-asset,31430,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_brush.jpg,binary-asset,32125,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_brushclear.jpg,binary-asset,27867,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_buckets.jpg,binary-asset,32711,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cabbage.jpg,binary-asset,31918,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cabbage2.jpg,binary-asset,32411,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cabclear.jpg,binary-asset,30263,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cabfinish.jpg,binary-asset,29720,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cabnow.jpg,binary-asset,30875,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_carrots.jpg,binary-asset,27143,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_clear_two.jpg,binary-asset,31490,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_clear_yarn_tray.jpg,binary-asset,29966,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_cleartray.jpg,binary-asset,32440,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_glove.jpg,binary-asset,32826,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_glove3.jpg,binary-asset,28248,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_gloves.jpg,binary-asset,28244,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_gloves2.jpg,binary-asset,31690,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_grass3.jpg,binary-asset,29652,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_grass_clear.jpg,binary-asset,30250,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_grass_reveal.jpg,binary-asset,30917,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_log.jpg,binary-asset,31688,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_logs_cur.jpg,binary-asset,31495,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_purple2.jpg,binary-asset,30566,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_purple_clear.jpg,binary-asset,32401,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_retry_purple.jpg,binary-asset,30563,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_s1.jpg,binary-asset,33320,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_s2.jpg,binary-asset,32951,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_stumps.jpg,binary-asset,28015,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn.jpg,binary-asset,33122,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn2.jpg,binary-asset,32214,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn3.jpg,binary-asset,31311,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn_clear.jpg,binary-asset,31557,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn_free.jpg,binary-asset,30464,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn_one.jpg,binary-asset,32497,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/after_yarn_pair2.jpg,binary-asset,32377,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/bell3_precise.jpg,binary-asset,28250,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/bell3_precise_mark.png,binary-asset,316065,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/bell_retry_mark.png,binary-asset,330763,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/bells_mark.png,binary-asset,292035,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
63cbbdc7eba23a3bab715810e57294f74a390ee5,computer-use/shots/bells_plan.jpg,binary-asset,34589,not-run,not-line-by-line-reviewed,metadata/provenance only; generated docs separately checked by existing suite
